GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
57,3,19,20,400,107.6016,0.0010335422,0.0002131015,1,5.32753697310659e-05,0.0005434088,0.0037825513,29.2203,53.7352,4.9155,19,0.0004262,7,0.0,0.00038358
60,2,27,6,70,44.457,0.0009783903,0.0002552323,2,0.0,0.0,0.0024247065,76.4405,98.7719,3.0965,16,0.00037221,6,0.0,0.0
81,4,18,24,800,155.9856,0.0050539084,0.000524109,8,2.49575721273834e-05,0.0003993212,0.0035689328,24.4632,52.1538,6.5664,27,0.0013103,6,0.0,0.0
93,4,26,4,190,79.2948,0.0003785385,0.000255102,3,1.64581961816985e-05,0.000164582,0.0035549704,39.6381,65.5,4.2269,19,0.00075708,7,0.0001069783,0.00026333
97,3,18,12,350,67.4754,0.0004225216,0.0001690086,1,2.41440919407021e-05,0.0001448646,0.002885219,42.437,68.0502,4.3222,16,0.00074847,7,0.0,0.00043459
102,5,17,16,1500,81.7722,0.0023334844,0.0004304486,4,0.0,0.0002492071,0.0028998641,45.1654,64.75,4.5312,15,0.001246,6,0.0,0.00022655
127,4,26,28,1100,114.7806,0.0026296126,0.0002873894,5,0.000244281,0.0003448672,0.0036498448,40.4427,59.937,4.9961,16,0.0015806,5,0.0,0.0
139,5,18,20,800,99.5088,0.00073402,0.000108298,1,2.40662302656912e-05,0.0005775895,0.0026954178,22.7265,68.7321,6.7054,23,0.0019614,7,0.0,0.0
140,5,26,10,500,83.9172,0.0028535133,0.0004929658,3,0.0,0.0,0.0046073338,51.2082,52.0494,2.8663,31,0.00065413,9,0.0,0.0
149,5,25,6,800,74.1174,0.000875,0.0002053571,6,1.78571428571429e-05,4.46428571428571e-05,0.0035178571,46.4122,71.8173,3.7944,34,0.00092857,5,0.0,0.0
160,3,19,6,150,64.6416,0.0006723442,0.0003361721,1,0.0001540789,0.000203104,0.0027594128,53.5776,78.2944,4.2284,41,0.00063733,6,7.00358583594801e-05,6.3032e-05
161,3,18,8,250,41.9094,0.0002757509,0.0001909045,0,0.0,0.0001696929,0.0021423723,54.4677,91.3069,3.6881,17,0.00066817,6,0.0,2.1212e-05
162,5,16,16,1000,128.0784,0.002753792,9.49583449393533e-05,4,0.0002405611,0.0001645945,0.0039692588,35.393,56.4019,5.2711,27,0.00043048,8,0.0,0.0
168,4,22,4,400,90.7686,0.0016104535,0.0003927935,4,0.0,0.0001833037,0.0034696763,44.7424,59.5321,4.5698,15,0.00070703,6,0.0,0.00032733
175,3,16,24,300,81.0702,0.0017467932,0.0001042862,0,2.60715403066013e-05,0.0001433935,0.0026201898,47.48,75.0846,5.0796,14,0.00080822,6,2.60715403066013e-05,3.9107e-05
178,5,22,8,300,157.332,0.0077426648,0.0002234725,1,0.0001314544,0.0009859081,0.0037990325,33.0417,57.7716,5.8581,29,0.0018929,6,0.0,0.0
181,2,25,10,200,75.9642,0.0006096651,0.0001368636,4,0.0001244214,0.0003234957,0.0020902802,45.1018,78.3095,6.5417,15,0.00093316,6,0.0,0.0
184,4,20,14,270,101.7864,0.0014531755,0.0005382131,2,5.38213132400431e-05,0.0003049874,0.004180122,22.569,54.6094,4.2961,15,0.00096878,4,0.0,0.00021529
